name,playcount,listeners,mbid,url,streamable,tags
Coldplay,389080982,5767078,cc197bad-dc9c-440d-a5b5-d52ba2e14234,https://www.last.fm/music/Coldplay,0,"rock, alternative, britpop"
Radiohead,553599366,5052364,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,0,"alternative, alternative rock, rock"
Rihanna,231190144,4999680,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,https://www.last.fm/music/Rihanna,0,"pop, rnb, female vocalists"
Eminem,237509437,4914016,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,https://www.last.fm/music/Eminem,0,"rap, Hip-Hop, Eminem"
Red Hot Chili Peppers,318723817,4900656,8bfac288-ccc5-448d-9573-c33ea2aa5c30,https://www.last.fm/music/Red+Hot+Chili+Peppers,0,"rock, alternative rock, alternative"
Kanye West,343352775,4838555,164f0d73-1234-4e2c-8743-d77bf2191051,https://www.last.fm/music/Kanye+West,0,"Hip-Hop, rap, hip hop"
The Killers,229401074,4730402,95e1ead9-4d31-4808-a7ac-32c3614c116b,https://www.last.fm/music/The+Killers,0,"indie, rock, indie rock"
Nirvana,248101664,4599297,9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6,https://www.last.fm/music/Nirvana,0,"Grunge, rock, alternative"
Queen,221904956,4412984,420ca290-76c5-41af-999e-564d7c71f1a7,https://www.last.fm/music/Queen,0,"classic rock, rock, 80s"
Muse,366626183,4303246,fd857293-5ab8-40de-b29e-55a69d4e4d0f,https://www.last.fm/music/Muse,0,"alternative rock, rock, alternative"
Lady Gaga,372859909,4276606,650e7db6-b795-4eb5-a702-5ea2fc46c848,https://www.last.fm/music/Lady+Gaga,0,"pop, dance, electronic"
Linkin Park,322953350,4258915,f59c5520-5f46-4d2c-b2c4-822eabf53419,https://www.last.fm/music/Linkin+Park,0,"rock, Nu Metal, alternative rock"
Foo Fighters,209468646,4213986,67f66c07-6e61-4026-ade5-7e782fad3a5d,https://www.last.fm/music/Foo+Fighters,0,"rock, alternative rock, Grunge"
Katy Perry,189654505,4140931,122d63fc-8671-43e4-9752-34e846d62a9c,https://www.last.fm/music/Katy+Perry,0,"pop, female vocalists, pop rock"
Daft Punk,230754422,4099808,056e4f3e-d505-4dad-8ec1-d04f521cbb56,https://www.last.fm/music/Daft+Punk,0,"electronic, dance, House"
The Rolling Stones,171235125,4068255,b071f9fa-14b0-4217-8e97-eb41da73f598,https://www.last.fm/music/The+Rolling+Stones,0,"classic rock, rock, british"
Green Day,208962266,4050857,084308bd-1654-436f-ba03-df6697104e19,https://www.last.fm/music/Green+Day,0,"punk rock, rock, punk"
The Beatles,576495411,4039560,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.last.fm/music/The+Beatles,0,"classic rock, rock, british"
Beyoncé,196227345,3947836,859d0860-d480-4efd-970c-c05d5f1776b8,https://www.last.fm/music/Beyonc%C3%A9,0,"rnb, pop, female vocalists"
Gorillaz,202130823,3932446,e21857d5-3256-4547-afb3-4b6ded592596,https://www.last.fm/music/Gorillaz,0,"alternative, electronic, Hip-Hop"
Arctic Monkeys,379878672,3881995,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,https://www.last.fm/music/Arctic+Monkeys,0,"indie rock, indie, british"
Michael Jackson,146474529,3880302,f27ec8db-af05-4f36-916e-3d57f91ecf5e,https://www.last.fm/music/Michael+Jackson,0,"pop, 80s, dance"
Maroon 5,131705288,3869157,0ab49580-c84f-44d4-875f-d83760ea2cfe,https://www.last.fm/music/Maroon+5,0,"rock, pop, pop rock"
Oasis,164792850,3836216,ecf9f3a3-35e9-4c58-acaa-e707fba45060,https://www.last.fm/music/Oasis,0,"britpop, rock, british"
Drake,199661786,3826744,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,https://www.last.fm/music/Drake,0,"Hip-Hop, rap, rnb"
System of a Down,244655055,3694529,cc0b7089-c08d-4c10-b6b0-873582c17fd6,https://www.last.fm/music/System+of+a+Down,0,"metal, alternative metal, rock"
Black Eyed Peas,79492852,3690212,d5be5333-4171-427e-8e12-732087c6b78e,https://www.last.fm/music/Black+Eyed+Peas,0,"Hip-Hop, pop, rnb"
U2,153005696,3679575,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,https://www.last.fm/music/U2,0,"rock, classic rock, irish"
David Bowie,221445684,3650907,5441c29d-3602-4898-b1a1-b77fa23b8e50,https://www.last.fm/music/David+Bowie,0,"rock, glam rock, classic rock"
Kings of Leon,177881493,3625768,6ffb8ea9-2370-44d8-b678-e9237bbd347b,https://www.last.fm/music/Kings+of+Leon,0,"rock, indie, indie rock"
Britney Spears,228241624,3611370,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,https://www.last.fm/music/Britney+Spears,0,"pop, dance, female vocalists"
The Strokes,198627296,3536719,f181961b-20f7-459e-89de-920ef03c7ed0,https://www.last.fm/music/The+Strokes,0,"indie rock, rock, indie"
Jay-Z,100226376,3506617,f82bcf78-5b69-4622-a5ef-73800768d9ac,https://www.last.fm/music/Jay-Z,0,"Hip-Hop, rap, hip hop"
Guns N' Roses,125000794,3453261,eeb1195b-f213-4ce1-b28c-8565211f8e43,https://www.last.fm/music/Guns+N%27+Roses,0,"hard rock, rock, classic rock"
Madonna,180233445,3384017,79239441-bfd5-4981-a70c-55c3f15c1287,https://www.last.fm/music/Madonna,0,"pop, dance, female vocalists"
The Doors,144384672,3382819,9efff43b-3b29-4082-824e-bc82f646f93d,https://www.last.fm/music/The+Doors,0,"classic rock, Psychedelic Rock, rock"
Pink Floyd,347239003,3366715,83d91898-7763-47d7-b03b-b92132375c47,https://www.last.fm/music/Pink+Floyd,0,"Progressive rock, classic rock, Psychedelic Rock"
Franz Ferdinand,118714820,3348882,aa7a2827-f74b-473c-bd79-03d065835cf7,https://www.last.fm/music/Franz+Ferdinand,0,"indie, indie rock, rock"
Weezer,122565453,3297758,6fe07aa5-fec0-4eca-a456-f29bff451b04,https://www.last.fm/music/Weezer,0,"rock, alternative, alternative rock"
blink-182,194776317,3211630,0743b15a-3c32-48c8-ad58-cb325350befa,https://www.last.fm/music/blink-182,0,"punk rock, pop punk, punk"
The Cure,178135111,3202398,69ee3720-a7cb-4402-b48d-a02c366f2bcf,https://www.last.fm/music/The+Cure,0,"post-punk, new wave, alternative"
Led Zeppelin,206404718,3183240,d6e0e274-8e19-44ce-b5b2-52c12f8a674a,https://www.last.fm/music/Led+Zeppelin,0,"classic rock, rock, hard rock"
The White Stripes,135006092,3176510,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,https://www.last.fm/music/The+White+Stripes,0,"rock, alternative, alternative rock"
Adele,140857654,3156538,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,https://www.last.fm/music/Adele,0,"soul, female vocalists, british"
Snow Patrol,92812835,3124861,a66999a7-ae5c-460e-ba94-1a01143ae847,https://www.last.fm/music/Snow+Patrol,0,"indie, alternative, rock"
Metallica,304492407,3110692,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,https://www.last.fm/music/Metallica,0,"thrash metal, metal, heavy metal"
MGMT,111089827,3104952,c485632c-b784-4ee9-8ea1-c5fb365681fc,https://www.last.fm/music/MGMT,0,"electronic, indie, psychedelic"
Aerosmith,78108065,3099351,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,https://www.last.fm/music/Aerosmith,0,"rock, classic rock, hard rock"
Justin Timberlake,81247106,3094652,596ffa74-3d08-44ef-b113-765d43d12738,https://www.last.fm/music/Justin+Timberlake,0,"pop, rnb, dance"
Beck,109664416,3093175,a8baaa41-50f1-4f63-979e-717c14979dfb,https://www.last.fm/music/Beck,0,"alternative, indie, rock"
David Guetta,98971590,3092546,302bd7b9-d012-4360-897a-93b00c855680,https://www.last.fm/music/David+Guetta,0,"House, dance, electronic"
Blur,99006491,3079262,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,https://www.last.fm/music/Blur,0,"britpop, rock, indie"
R.E.M.,102228049,3078965,ea4dfa26-f633-4da6-a52a-f49ea4897b58,https://www.last.fm/music/R.E.M.,0,"rock, alternative rock, alternative"
The Offspring,132522698,3073349,23a03e33-a603-404e-bcbf-2c00159d7067,https://www.last.fm/music/The+Offspring,0,"punk rock, punk, rock"
Rage Against the Machine,99287213,3016902,3798b104-01cb-484c-a3b0-56adc6399b80,https://www.last.fm/music/Rage+Against+the+Machine,0,"rock, alternative rock, alternative"
